eps_num,iter,critic_loss,actor_loss,csc_samples_neg,csc_samples_pos,train_acc,snap_iter,beta_score,main_critic_loss,main_actor_loss,main_beta_score,main_prox_critic,main_prox_actor,main_avg_prox_coef,tidx,avg_rewards,one_raw_reward
1400,250000,309.9464794158936,-422.0607116699219,200,204,0.7673267326732673,10,1.0,78.20093856811523,-275.5615533447266,0.80096895,1.7930190634727479,0.9619275307655335,0.09999999999999998,0,1052.32816118368,1036.3344252541194
1400,250000,320.85837717056273,-191.26305236816407,200,204,0.7995049504950495,10,1.0,55.93680419921875,-136.4828775024414,0.82030374,2.3950267362594606,0.7840866971015931,0.09999999999999998,1,571.3723184886117,581.3185529524934
1450,260000,285.14192123413085,-422.09654541015624,200,204,0.7648514851485149,10,1.0,71.23294975280761,-301.48982788085937,0.8026577,1.6636484265327454,0.9047846579551697,0.09999999999999998,0,989.0207888215092,1021.1805455986707
1450,260000,223.20591011047364,-192.49564208984376,200,204,0.7747524752475248,10,1.0,56.57099338531494,-119.35375366210937,0.65221375,1.9796922481060029,0.8040995633602143,0.09999999999999998,1,572.7628392351813,605.9526866997669
1500,270000,250.51628570556642,-431.66485595703125,200,204,0.7698019801980198,10,1.0,68.72676635742188,-236.86516052246094,0.6623496,2.2693990206718446,1.0166578936576842,0.09999999999999998,0,1031.344845212797,1082.2366623421692
1500,270000,222.83500900268555,-195.35084838867186,200,204,0.7524752475247525,10,1.0,54.25396385192871,-164.6117840576172,0.9454759,2.0836964976787566,0.7359939992427826,0.09999999999999998,1,627.7697309755044,560.6192763718494
1550,280000,406.9007965087891,-430.60963134765626,200,204,0.7698019801980198,10,1.0,65.31861656188966,-319.09931640625,0.81224215,1.6343553233146668,1.0088396739959717,0.09999999999999998,0,1004.3019925547925,1035.6944909933572
1550,280000,377.26460752487185,-204.54319458007814,200,204,0.7871287128712872,10,1.0,52.33720079421997,-145.36936309814453,0.71762824,3.041884732246399,0.6622779333591461,0.09999999999999998,1,616.5790279413372,620.3770595772567
1600,290000,272.6188247680664,-433.22560424804686,200,204,0.7920792079207921,10,1.0,51.97165550231934,-273.51599548339846,0.67864573,1.952110241651535,1.094174542427063,0.09999999999999998,0,1051.1155299399895,1089.3109637206574
1600,290000,274.1767770767212,-212.88039855957032,200,204,0.7920792079207921,10,1.0,56.54749082565308,-140.31872009277345,0.7388768,2.14244597196579,0.7372470712661743,0.09999999999999998,1,574.1208664365786,679.2353889194649
1650,300000,465.39997482299805,-447.7489929199219,200,204,0.7772277227722773,10,1.0,87.93395568847656,-330.5238134765625,0.79981637,1.9803882539272308,0.957314876317978,0.09999999999999998,0,1090.6542992703037,1089.5726322564922
1650,300000,357.21186447143555,-215.07159118652345,200,204,0.7896039603960396,10,1.0,30.084570159912108,-114.20447967529297,0.5973194,2.2948153686523436,0.6102631056308746,0.09999999999999998,1,607.1890878999425,647.9272748316456
1700,310000,183.11150131225585,-449.30462646484375,200,204,0.7599009900990099,10,1.0,48.44370208740234,-309.0876953125,0.7814408,1.7671525704860687,0.966985547542572,0.09999999999999998,0,1120.520112886163,1062.4579016540845
1700,310000,268.6625747680664,-220.28095703125,200,204,0.7896039603960396,10,1.0,33.71158029556275,-136.62060180664062,0.7091386,2.3541952204704284,0.6715977656841278,0.09999999999999998,1,619.7477951730134,637.8811353117599
1750,320000,381.88713989257815,-451.93471069335936,200,204,0.7524752475247525,10,1.0,56.33497661590576,-298.26860961914065,0.74865305,2.0355064487457275,0.8022961854934693,0.09999999999999998,0,1126.0023482273934,1053.5991574548634
1750,320000,382.82398490905763,-226.8300567626953,200,204,0.7797029702970297,10,1.0,39.62025699615479,-115.2717724609375,0.46547526,1.5562274378538132,0.6770622158050537,0.09999999999999998,1,585.6803261743246,670.1733374749082
