MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/push-v2/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/push-v2/NumEpisodes,MetaTest/push-v2/SuccessRate,MetaTest/push-v2/MinReturn,MetaTest/push-v2/AverageReturn,MetaTest/push-v2/MaxReturn,MetaTest/Average/StdReturn,MetaTest/push-v2/StdReturn,MetaTest/push-v2/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/push-v2/TerminationRate
30.620765323974684,8.032427054963991,10,50,30.620765323974688,10,0.0,219.07551662766687,190000,50,0.0,8.032427054963991,30.620765323974684,219.07551662766687,37.160543667548936,37.160543667548936,30.620765323974688,0.0,0.0
25.74908060662714,9.030763029589933,11,50,25.74908060662714,11,0.0,81.21032200441793,205000,50,0.0,9.030763029589933,25.74908060662714,81.21032200441793,13.506061051435097,13.506061051435097,25.74908060662714,0.0,0.0
34.125937848121865,11.738926044004094,12,50,34.12593784812185,12,0.0,410.94016022292465,220000,50,0.0,11.738926044004094,34.125937848121865,410.94016022292465,54.791326483333386,54.791326483333386,34.12593784812185,0.0,0.0
26.613797762009924,11.588088317352156,13,50,26.613797762009927,13,0.0,101.71611204083841,235000,50,0.0,11.588088317352156,26.613797762009924,101.71611204083841,18.330398808232527,18.330398808232527,26.613797762009927,0.0,0.0
23.05446987686232,8.658905773185115,14,50,23.05446987686232,14,0.0,58.40017333326185,250000,50,0.0,8.658905773185115,23.05446987686232,58.40017333326185,10.394268515760274,10.394268515760274,23.05446987686232,0.0,0.0
34.41548881485452,12.516573836317967,15,50,34.41548881485453,15,0.0,122.79772810519172,265000,50,0.0,12.516573836317967,34.41548881485452,122.79772810519172,21.859591693940846,21.859591693940846,34.41548881485453,0.0,0.0
26.658408369319744,10.083922595254487,16,50,26.658408369319744,16,0.0,147.6033809173192,280000,50,0.0,10.083922595254487,26.658408369319744,147.6033809173192,20.480396017744003,20.480396017744003,26.658408369319744,0.0,0.0
23.850998688430597,9.75722070159447,17,50,23.85099868843059,17,0.0,63.958004912212694,295000,50,0.0,9.75722070159447,23.850998688430597,63.958004912212694,10.853734585928736,10.853734585928736,23.85099868843059,0.0,0.0
22.68164058598325,8.592579527212115,18,50,22.68164058598325,18,0.0,44.30495866994048,310000,50,0.0,8.592579527212115,22.68164058598325,44.30495866994048,8.631401791138316,8.631401791138316,22.68164058598325,0.0,0.0
34.01968523220152,7.123716478617035,19,50,34.019685232201525,19,0.0,201.11905968765512,325000,50,0.0,7.123716478617035,34.01968523220152,201.11905968765512,31.312260222711654,31.312260222711654,34.019685232201525,0.0,0.0
35.968100043789875,11.375964911315036,20,50,35.96810004378989,20,0.0,337.82286553203164,340000,50,0.0,11.375964911315036,35.968100043789875,337.82286553203164,48.986618537651815,48.986618537651815,35.96810004378989,0.0,0.0
32.87668608449333,9.467642090053914,21,50,32.87668608449333,21,0.0,128.65099626825557,355000,50,0.0,9.467642090053914,32.87668608449333,128.65099626825557,23.189202454734332,23.189202454734332,32.87668608449333,0.0,0.0
30.457941892484627,9.699541022341847,22,50,30.457941892484627,22,0.0,209.47272576670272,370000,50,0.0,9.699541022341847,30.457941892484627,209.47272576670272,30.361933061941574,30.361933061941574,30.457941892484627,0.0,0.0
28.64695309789196,9.996957522503797,23,50,28.646953097891974,23,0.0,170.88290376474643,385000,50,0.0,9.996957522503797,28.64695309789196,170.88290376474643,24.759270628038916,24.759270628038916,28.646953097891974,0.0,0.0
24.463174089097215,12.118567819579562,24,50,24.463174089097212,24,0.0,83.75039991288847,400000,50,0.0,12.118567819579562,24.463174089097215,83.75039991288847,11.966637214431074,11.966637214431074,24.463174089097212,0.0,0.0
38.57197615761233,8.461375757567575,25,50,38.57197615761233,25,0.0,355.21507920944026,415000,50,0.0,8.461375757567575,38.57197615761233,355.21507920944026,49.18346417176188,49.18346417176188,38.57197615761233,0.0,0.0
