actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-36.276445083618164,200,42000,10.026365320682526,360,381.9058386398347,200.0,381.905839,74,42000,81,42000
-36.28737018585205,200,42400,10.076516189575194,362,62.189018907419,200.0,62.189019,74,42400,82,42400
-36.90104557037353,200,42800,10.376359453201294,364,-12.449759361223734,200.0,-12.449759,74,42800,83,42800
-37.3485710144043,200,43200,10.332746279239654,366,404.9246083919685,200.0,404.924608,74,43200,84,43200
-37.45441333770752,200,43600,10.984819173812866,368,126.77836691815729,200.0,126.778367,74,43600,85,43600
-37.795816841125486,200,44000,10.35316246509552,370,112.58871543406845,200.0,112.588715,73,44000,86,44000
-38.49051277160645,200,44400,11.183429040908813,372,351.7458527398277,200.0,351.745853,73,44400,87,44400
-38.356571655273434,200,44800,11.212494730949402,374,95.57191539039735,200.0,95.571915,73,44800,88,44800
-38.75762382507324,200,45200,11.358036291599273,376,147.15738322990782,200.0,147.157383,73,45200,89,45200
-38.53829360961914,200,45600,11.055296432971954,378,83.18183046092577,200.0,83.18183,73,45600,90,45600
-39.40850200653076,200,46000,11.594837734699249,380,415.5057670389179,200.0,415.505767,73,46000,91,46000
-40.386483116149904,200,46400,11.745251395702361,382,341.49711249496505,200.0,341.497112,73,46400,92,46400
-40.75083229064941,200,46800,11.884229469299317,384,469.37298576482107,200.0,469.372986,73,46800,93,46800
-41.602864532470704,200,47200,12.74305025100708,386,59.289191959582574,200.0,59.289192,73,47200,94,47200
-41.538821868896484,200,47600,11.809021084308624,388,66.85122290292972,200.0,66.851223,72,47600,95,47600
-42.595157890319825,200,48000,12.240234344005584,390,350.0748992902955,200.0,350.074899,72,48000,96,48000
-42.78687362670898,200,48400,12.588839049339294,392,53.42590362347721,200.0,53.425904,72,48400,97,48400
-43.506201858520505,200,48800,13.122843420505523,394,94.78050446009811,200.0,94.780504,72,48800,98,48800
-44.00646602630615,200,49200,13.392034826278687,396,141.05590296856678,200.0,141.055903,72,49200,99,49200
-44.34227073669434,200,49600,12.792326304912567,398,186.9678922764515,200.0,186.967892,72,49600,100,49600
-44.21335239410401,200,50000,13.59006115436554,400,161.37457078875408,200.0,161.374571,72,50000,101,50000
-45.75596939086914,200,50400,12.93861234664917,402,482.3305507190001,200.0,482.330551,70,50400,102,50400
-45.81536731719971,200,50800,13.64305323123932,404,161.67496882005125,200.0,161.674969,70,50800,103,50800
-45.6895401763916,200,51200,13.735846672058106,406,369.20248617509526,200.0,369.202486,70,51200,104,51200
-46.423408012390134,200,51600,14.009799580574036,408,338.64003522159277,200.0,338.640035,70,51600,105,51600
-47.17076602935791,200,52000,14.936658120155334,410,109.4735288650418,200.0,109.473529,70,52000,106,52000
-48.27951068878174,200,52400,14.658963470458984,412,185.87969905134545,200.0,185.879699,70,52400,107,52400
-48.83627429962158,200,52800,15.393565225601197,414,411.607505710703,200.0,411.607506,70,52800,108,52800
-48.85641502380371,200,53200,15.536158332824707,416,458.94696234882446,200.0,458.946962,70,53200,109,53200
-49.12588932037354,200,53600,16.17369443178177,418,151.4933086082471,200.0,151.493309,70,53600,110,53600
-49.7721664428711,200,54000,15.464122042655944,420,137.0267657954204,200.0,137.026766,70,54000,111,54000
-50.94939033508301,200,54400,14.755783734321595,422,545.9740534949866,200.0,545.974053,70,54400,112,54400
-51.152941932678225,200,54800,15.665034828186036,424,98.67257959247728,200.0,98.67258,70,54800,113,54800
-51.12327766418457,200,55200,16.669693908691407,426,474.8292383864525,200.0,474.829238,70,55200,114,55200
-52.33119323730469,200,55600,16.51454833984375,428,115.73449845182029,200.0,115.734498,70,55600,115,55600
-52.66350826263428,200,56000,16.631534748077392,430,399.0465926027548,200.0,399.046593,69,56000,116,56000
-52.81468784332275,200,56400,16.621323523521422,432,512.8431186084111,200.0,512.843119,69,56400,117,56400
-54.587666778564454,200,56800,17.25105583667755,434,499.2755966330436,200.0,499.275597,69,56800,118,56800
-54.97525295257569,200,57200,16.8498059463501,436,500.4689377512271,200.0,500.468938,69,57200,119,57200
-54.37515995025635,200,57600,17.4105308675766,438,183.3949412663188,200.0,183.394941,69,57600,120,57600
-56.159449615478515,200,58000,17.457285857200624,440,153.0474301636576,200.0,153.04743,69,58000,121,58000
-56.02500923156738,200,58400,17.92404908180237,442,128.88152945868794,200.0,128.881529,69,58400,122,58400
-56.26966831207275,200,58800,17.921914205551147,444,128.70873358806656,200.0,128.708734,69,58800,123,58800
-57.02591274261474,200,59200,17.705517525672914,446,406.9334443315234,200.0,406.933444,69,59200,124,59200
-58.183278274536136,200,59600,18.26957235336304,448,603.0607627618629,200.0,603.060763,69,59600,125,59600
-58.923078842163086,200,60000,18.899694390296936,450,194.55141391917832,200.0,194.551414,69,60000,126,60000
-58.780897789001465,200,60400,19.153708329200743,452,185.8302982835262,200.0,185.830298,68,60400,127,60400
-59.89726627349854,200,60800,19.60750338077545,454,493.66960665338024,200.0,493.669607,68,60800,128,60800
-60.436893997192385,200,61200,19.171001052856447,456,527.7622873390192,200.0,527.762287,68,61200,129,61200
-59.94280834197998,200,61600,20.463437957763674,458,214.1123261859577,200.0,214.112326,68,61600,130,61600
-60.21083972930908,200,62000,20.584725227355957,460,101.89900046884779,200.0,101.899,68,62000,131,62000
-61.70266414642334,200,62400,21.579841518402098,462,539.666951228603,200.0,539.666951,68,62400,132,62400
-62.61391593933106,200,62800,20.529693994522095,464,205.39230505549273,200.0,205.392305,68,62800,133,62800
-61.990667495727536,200,63200,20.83301477432251,466,190.00561722985753,200.0,190.005617,67,63200,134,63200
-63.51621494293213,200,63600,21.17478424549103,468,145.17534761772168,200.0,145.175348,67,63600,135,63600
-63.39259803771973,200,64000,21.327537250518798,470,399.4945696373371,200.0,399.49457,67,64000,136,64000
-64.1698709487915,200,64400,22.493147501945497,472,245.78144376571308,200.0,245.781444,67,64400,137,64400
-63.93533313751221,200,64800,22.100280141830446,474,273.6809787275757,200.0,273.680979,67,64800,138,64800
-64.45761611938477,200,65200,23.507040710449218,476,404.7387916405109,200.0,404.738792,67,65200,139,65200
-66.37298973083496,200,65600,23.416519684791567,478,590.1813996080585,200.0,590.1814,67,65600,140,65600
-66.85863109588622,200,66000,23.30245840072632,480,542.7178323015881,200.0,542.717832,67,66000,141,66000
-67.35743732452393,200,66400,23.286778140068055,482,563.9529948488623,200.0,563.952995,67,66400,142,66400
-68.90519660949707,200,66800,23.099014830589294,484,502.8652122131268,200.0,502.865212,67,66800,143,66800
-69.20239650726319,200,67200,25.102416787147522,486,280.56592910494817,200.0,280.565929,67,67200,144,67200
-69.54524085998536,200,67600,25.11378448009491,488,315.8412842286714,200.0,315.841284,67,67600,145,67600
-69.3541453552246,200,68000,25.864744296073912,490,268.08241744898993,200.0,268.082417,67,68000,146,68000
-69.93655212402344,200,68400,26.349461288452147,492,282.384717322408,200.0,282.384717,67,68400,147,68400
-70.43358379364014,200,68800,25.408030614852905,494,260.68315216799755,200.0,260.683152,67,68800,148,68800
-71.15664432525635,200,69200,25.843966050148012,496,327.385904083345,200.0,327.385904,67,69200,149,69200
-71.38154666900635,200,69600,26.305625882148743,498,311.1497465976285,200.0,311.149747,67,69600,150,69600
-71.9950496673584,200,70000,26.60407148361206,500,533.9406756685246,200.0,533.940676,67,70000,151,70000
-72.7081019973755,200,70400,27.282957754135133,502,547.2544772926703,200.0,547.254477,66,70400,152,70400
