Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.27890038,0.49101457,76.42643,7.642643,338.01663,108.05877,-108.22924,98.57472,45.9989,251.8772,-48.888706,102.28555,43.51668,246.20477,-18.649078,-0.1715295,2.4580777,13.1684885,-9.00127,0.053490806,0.84618926,3.9380903,-3.1961312,-0.62683207,0.113447696,-0.21439658,-1.1030424,0.6959019,0.18942535,90.09222488722185,59.70572947988052,94.53347533061054,22000,22400,0,119.38542611594312,9.405905359075405,2.0599834218155593,130.85131489683408,1445.3036275790073,10
0.8622052,0.5348859,104.36056,10.436056,301.77042,49.92175,-290.53165,290.86923,48.948933,437.3507,166.02869,292.7829,47.02547,424.19348,164.96956,-1.1027415,2.226897,9.991024,-8.621264,-0.029120274,0.7582682,2.8559203,-3.2852612,-0.5421404,0.09316822,-0.17439634,-0.9411948,0.7639996,0.21350658,178.38385511766393,130.81898906846243,84.39604736777842,24000,24400,0,119.52138875995297,9.457188350032084,2.3598876409232616,131.33846475090832,1576.5444724607514,11
0.79846513,0.5118443,59.823708,5.982371,398.0387,100.00418,-110.32669,99.51151,48.015377,263.65128,-99.958145,104.831764,45.257065,261.99338,-49.963913,0.10828183,2.5927777,10.765228,-8.618559,0.04285588,0.8808259,2.9337528,-3.2248557,-0.6339999,0.10831812,-0.20511015,-1.0783138,0.5439719,0.23747656,91.80612480103342,45.00514968478307,67.53880796478973,26000,26400,0,119.45010731799994,9.359860616968945,2.107270453008823,130.9172383879777,1707.8837737189606,12
0.33186772,0.57686675,33.33393,3.333393,180.95871,72.39303,-177.44444,179.54547,70.077194,365.07394,20.900358,181.09293,70.80264,365.86703,25.587154,-0.80712223,2.178006,7.8397946,-8.811688,0.026492031,0.7670431,2.6320188,-3.0291908,-0.5928724,0.089862555,-0.2474377,-0.97678095,0.2491473,0.1817989,223.24502109972545,219.91651273732683,57.571061702231084,28000,28400,0,119.9347651549615,9.782010687049478,2.1190324558410794,131.83580829785205,1839.6331383190118,13
0.56470716,0.5145242,70.104004,7.0104003,110.74287,34.917164,-254.17117,251.42436,96.914955,431.75244,-22.242325,254.54309,96.05728,430.17056,-17.688293,-0.43189597,2.4135776,10.194344,-10.607837,-0.013364162,0.812573,2.559229,-2.9374566,-0.6214964,0.096264325,-0.25554496,-1.0720339,0.24553967,0.24592116,-14.200690923815344,-41.7844303146457,42.88326099595129,30000,30400,0,119.47560817096382,9.695675505907275,2.241747276042588,131.4130309529137,1971.1870614158688,14
0.24802336,0.5381949,56.15228,5.615228,230.02293,79.02557,-226.82835,228.88066,111.98265,505.36438,55.533936,231.17744,113.700645,491.7008,64.3116,-0.51544136,2.256174,9.233869,-8.657802,0.06848936,0.8056232,3.2959423,-3.0635467,-0.6077078,0.0910506,-0.28188792,-0.9999156,0.63004863,0.24671622,235.90460678633758,146.38967388938437,49.76354688916731,32000,32400,0,121.61039126396645,9.836632570018992,2.1521347338566557,133.5991585678421,2104.506037837593,15
0.24269967,0.55082905,50.92295,5.092295,181.63914,60.82945,-198.74702,195.14961,73.925385,358.98715,-53.368298,200.56342,71.74638,363.58917,-33.636124,-0.16947274,2.4753647,10.153949,-10.52094,0.025888944,0.8397119,2.7300594,-2.8277762,-0.643264,0.0950697,-0.29509136,-1.1087586,0.18845582,0.23790494,110.08075535436811,113.7941153515823,102.64062934889427,34000,34400,0,119.58798217598815,9.556627194979228,2.292905322741717,131.4375146937091,2235.1259597655153,16
0.4802092,0.71718967,40.782806,4.078281,459.48083,216.10098,-322.59537,332.63022,59.125767,500.13556,168.74504,334.55255,59.418762,492.09836,177.93144,-0.45019093,2.3807034,10.993166,-10.351302,0.023734419,0.8061047,3.0758286,-3.292389,-0.6464047,0.08838685,-0.32111093,-1.0883017,0.491997,0.1978423,309.94635907490283,244.36211063817296,138.90833800227432,36000,36400,0,121.90608463296667,8.739182560006157,2.0958522368455306,132.74111942981835,2368.4203218382318,17
0.42161036,0.42216635,64.38871,6.438871,134.55693,44.45586,-264.60782,263.62247,122.76224,522.66437,55.626396,266.13983,123.79691,526.94446,63.214787,-0.37786102,2.3420007,10.480825,-10.014417,-0.03606989,0.8169534,2.932334,-3.070578,-0.62156755,0.09168035,-0.22596651,-1.0356877,0.7752118,0.19464791,314.4032354385718,181.10110219406937,75.69856233889205,38000,38400,0,119.29412548791151,9.292556125088595,2.2062915918650106,130.79297320486512,2499.3450948770624,18
0.26402658,0.57444733,61.61612,6.161612,167.67296,50.526043,-162.8757,155.12923,39.145332,294.2562,-1.0121422,160.58014,36.980564,294.41953,19.758936,-0.37863865,2.4115033,9.039698,-8.706644,0.009877529,0.8366406,2.8511138,-2.921153,-0.6149633,0.09698276,-0.23937082,-0.99283326,0.7294267,0.18163767,184.02438427923218,154.54980915871568,163.1233677597466,40000,40400,0,118.22416857001372,9.42467796697747,2.1056229138048366,129.75446945079602,2629.535468835733,19
